epoch,train_loss,train_acc,val_loss,val_acc,val_f1,val_auc
1,0.7024957090616226,0.5814855875831486,0.7031688690185547,0.4883720930232558,0.2524271844660194,0.6895215228948721
2,0.6067354083061218,0.6446784922394678,0.673885315656662,0.5764119601328903,0.49504950495049505,0.7054250271537186
3,0.5587356388568878,0.6984478935698448,0.6519668400287628,0.6395348837209303,0.6635658914728683,0.6880695135196935
4,0.5297995507717133,0.7344789356984479,0.6252200305461884,0.6295681063122923,0.755750273822563,0.7148802378094095
5,0.504561610519886,0.7605321507760532,0.6115544140338898,0.6827242524916943,0.776608187134503,0.7701709255130624
6,0.4815065860748291,0.770509977827051,0.5804025828838348,0.7093023255813954,0.7376311844077961,0.782107128565712
7,0.4787798449397087,0.7610864745011087,0.5749082863330841,0.7026578073089701,0.7684346701164295,0.7788486823300749
8,0.45236070454120636,0.791019955654102,0.6252107322216034,0.6827242524916943,0.776084407971864,0.7707768821814439
9,0.45762283354997635,0.7882483370288248,0.6148247420787811,0.6760797342192691,0.7540983606557377,0.7502543874692735
10,0.4426025226712227,0.7893569844789357,0.7363249063491821,0.6312292358803987,0.7477272727272727,0.7114617275481622
11,0.40984082221984863,0.8098669623059866,0.5506353080272675,0.7591362126245847,0.8010973936899863,0.7921797290344709
12,0.4069262370467186,0.8120842572062085,0.5470612049102783,0.7342192691029901,0.7674418604651163,0.7967644200537357
13,0.38810940086841583,0.8187361419068736,0.531914472579956,0.7308970099667774,0.7645348837209303,0.8071457154290287
14,0.38094383478164673,0.8292682926829268,0.5334565341472626,0.7491694352159468,0.7782672540381792,0.8075001429143085
15,0.36881327629089355,0.8331485587583148,0.5205961912870407,0.7508305647840532,0.8021108179419525,0.8062882295775452
16,0.36926787346601486,0.8364745011086474,0.5605809986591339,0.7475083056478405,0.7865168539325843,0.7995083747784828
17,0.353736475110054,0.8364745011086474,0.5956624746322632,0.7059800664451827,0.7801242236024845,0.7843137254901961
18,0.3496502488851547,0.8386917960088692,0.6020049452781677,0.7259136212624585,0.7876447876447876,0.7896072714800206
19,0.33081669360399246,0.8497782705099778,0.553081750869751,0.7591362126245847,0.803788903924222,0.8069970845481049
20,0.3234664872288704,0.8536585365853658,0.5775696933269501,0.7591362126245847,0.8032564450474898,0.7981249642714228
21,0.32370051741600037,0.8558758314855875,0.5801613628864288,0.7657807308970099,0.8044382801664355,0.8075344423483679
22,0.3189885839819908,0.8569844789356984,0.5842907726764679,0.7524916943521595,0.7927677329624478,0.8049048190704854
23,0.3133096843957901,0.8647450110864745,0.6151048541069031,0.7541528239202658,0.7885714285714286,0.7970731149602699
24,0.31301814317703247,0.856430155210643,0.5901143550872803,0.7624584717607974,0.8043775649794802,0.8097982049962842
25,0.29819777607917786,0.8614190687361419,0.5924609005451202,0.7641196013289037,0.800561797752809,0.8138341050705997
26,0.30518870800733566,0.8658536585365854,0.6019351184368134,0.7558139534883721,0.7878787878787878,0.8045961241639513
27,0.2981375604867935,0.8675166297117517,0.5986166596412659,0.7541528239202658,0.7879656160458453,0.8034642428399931
28,0.3010701760649681,0.864190687361419,0.5997169017791748,0.7475083056478405,0.7816091954022989,0.8059795346710112
29,0.29570601880550385,0.8647450110864745,0.601494312286377,0.7541528239202658,0.7897727272727273,0.8077859715314698
30,0.2900853604078293,0.8691796008869179,0.6022158563137054,0.7624584717607974,0.7983074753173484,0.809077916881038
